4798	1	4,8,9	96: 0x01E9CDAB FFFF0100 00000000 0CC17A3B 3A1A9B01 CA501EF0 008008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000426F
7515	1	4,8,9	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A 8E010000 0000011C 0001C800 011B0037 88
13176	1	4,5,6,8,9	96: 0x01E9CDAB FFFF0100 00000000 0CC17A3B 3A1A9B01 CA4F1EF0 008008F1 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000E5A7
13476	1	4,7,8,9	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A 1B030000 0000011C 0001C800 011B00E1 88
13596	9	-	37: 0x00EBCDAB FFFF0900 00000000 0CC1003F 1188061A 23030000 0002011C 0001C800 011B001F 9F
16434	4	1,7,8,9	96: 0x01E9CDAB FFFF0400 00000000 0CC17A3B 3A1A9B01 C94D1EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 000097AF
16899	8	1,2,4,6,7,9	96: 0x01E9CDAB FFFF0800 00000000 0CC17A3B 3A1A9B01 C9491EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000A7DC
17365	9	1,4,7,8	96: 0x01E9CDAB FFFF0900 00000000 0CC17A3B 3A1A9B01 C9481EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000F86E
17635	9	1,5	102: 0x21EC01CD AB010000 0000000C C1090000 0000000C C17A333A 9B0106D7 1EF00180 08F00000 AAAA0000 00000000 000000FF FE000001 040E0008 0C0A0380 00800001 000A003C 081E4040 00000000 00000000 00000000 AAAA0000 00000000 00000000 00000000 E784
17642	1	5,9	19: 0x022E01CD AB090000 0000000C C1020FB7 001742
19167	8	1,2,5,6	102: 0x21EC01CD AB010000 0000000C C1080000 0000000C C17A333A 9B0106D8 1EF00180 08F00000 AAAA0000 00000000 000000FF FE000001 040E0008 0C0A0380 00800001 000A003C 081E4040 00000000 00000000 00000000 AAAA0000 00000000 00000000 00000000 EA5F
19174	1	2,5,6,8	19: 0x022E01CD AB080000 0000000C C1020FB7 0042C7
19227	7	1,2,3,4	96: 0x01E9CDAB FFFF0700 00000000 0CC17A3B 3A1A9B01 C84A1EF0 028008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000E7A4
19437	1	2,3,4,8,9	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A A8040000 0000011C 0001C800 011B0050 F0
19482	4	5,6,7	37: 0x00EBCDAB FFFF0400 00000000 0CC1003F 1188061A AB040000 0002011C 0001C800 011B00A6 75
19527	7	-	37: 0x00EBCDAB FFFF0700 00000000 0CC1003F 1188061A AE040000 0004011C 0001C800 011B00A5 FE
19542	8	-	37: 0x00EBCDAB FFFF0800 00000000 0CC1003F 1188061A AF040000 0002011C 0001C800 011B0017 50
19557	9	-	37: 0x00EBCDAB FFFF0900 00000000 0CC1003F 1188061A B0040000 0002011C 0001C800 011B0077 AA
21464	4	1	102: 0x21EC01CD AB010000 0000000C C1040000 0000000C C17A333A 9B0106DC 1EF00180 08F00000 AAAA0000 00000000 000000FF FE000001 040E0008 0C0A0380 00800001 000A003C 081E4040 00000000 00000000 00000000 AAAA0000 00000000 00000000 00000000 FB45
21471	1	4	19: 0x022E01CD AB040000 0000000C C1020FD6 0055B4
