5112	1	3,4,12	96: 0x01E9CDAB FFFF0100 00000000 0CC17A3B 3A1A9B01 CA501EF0 008008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000426F
7829	1	4,5,8,12	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A 8E010000 0000011C 0001C800 011B0037 88
13490	1	4,5,6,8,10,12,13	96: 0x01E9CDAB FFFF0100 00000000 0CC17A3B 3A1A9B01 CA4F1EF0 008008F1 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000E5A7
13790	1	3,4,5,7,8,11,12	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A 1B030000 0000011C 0001C800 011B00E1 88
13955	3	1,4,5,8,11,12	63: 0x01E9CDAB FFFF0300 00000000 0CC14160 00000000 063A40FE 80000000 000000C3 0C000000 000003FF 02000000 00000000 00000000 00001A9B 00A41100 001B50
16748	4	-	96: 0x01E9CDAB FFFF0400 00000000 0CC17A3B 3A1A9B01 C94D1EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 000097AF
16748	1	-	96: 0x01E9CDAB FFFF0100 00000000 0CC17A3B 3A1A9B01 CA4E1EF0 008008F2 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 000011B5
17213	8	1,2,4,5,6,7,10,11,12	96: 0x01E9CDAB FFFF0800 00000000 0CC17A3B 3A1A9B01 C9491EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000A7DC
17679	5	-	96: 0x01E9CDAB FFFF0500 00000000 0CC17A3B 3A1A9B01 C94C1EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 0000C81D
17679	12	-	96: 0x01E9CDAB FFFF0C00 00000000 0CC17A3B 3A1A9B01 C9451EF0 018008F0 0000AAAA 00000000 00000000 00FFFE00 0001040E 00080C0A 03800080 0001000A 003C081E 40400000 00000000 00000000 0000AAAA 00000000 00000000 00000000 00003A15
18715	5	1	102: 0x21EC01CD AB010000 0000000C C1050000 0000000C C17A333A 9B0106DB 1EF00180 08F00000 AAAA0000 00000000 000000FF FE000001 040E0008 0C0A0380 00800001 000A003C 081E4040 00000000 00000000 00000000 AAAA0000 00000000 00000000 00000000 358E
18722	1	5	19: 0x022E01CD AB050000 0000000C C1020FD6 000031
19225	12	1,9,13	102: 0x21EC01CD AB010000 0000000C C10C0000 0000000C C17A333A 9B0106D4 1EF00180 08F00000 AAAA0000 00000000 000000FF FE000001 040E0008 0C0A0380 00800001 000A003C 081E4040 00000000 00000000 00000000 AAAA0000 00000000 00000000 00000000 6749
19233	1	9,12,13	19: 0x022E01CD AB0C0000 0000000C C1020FD6 00B9BE
19751	1	2,3,4,5,8,10,12	37: 0x00EBCDAB FFFF0100 00000000 0CC1003F 1188061A A8040000 0000011C 0001C800 011B0050 F0
19796	4	6,9,13	37: 0x00EBCDAB FFFF0400 00000000 0CC1003F 1188061A AB040000 0002011C 0001C800 011B00A6 75
19811	5	-	37: 0x00EBCDAB FFFF0500 00000000 0CC1003F 1188061A AC040000 0002011C 0001C800 011B0050 7C
19841	7	-	37: 0x00EBCDAB FFFF0700 00000000 0CC1003F 1188061A AE040000 0004011C 0001C800 011B00A5 FE
19856	8	7,11	37: 0x00EBCDAB FFFF0800 00000000 0CC1003F 1188061A AF040000 0002011C 0001C800 011B0017 50
